resolution,method,metric,error
6,mc,chf,0.31008434200039614
6,mc,hd,0.6169971094083262
6,mc,sdf,89.28370175694229
6,ndc,chf,0.2243351795710141
6,ndc,hd,0.48796009110997585
6,ndc,sdf,32.35808526809227
6,rfts,chf,0.08154783953679264
6,rfts,hd,0.1676663522336253
6,rfts,sdf,0.21477456393748368
6,rfta,chf,0.08588359786116448
6,rfta,hd,0.16642538123652054
6,rfta,sdf,0.06647083008417425
10,mc,chf,0.1997596101714977
10,mc,hd,0.4105008028699063
10,mc,sdf,35.0728379250973
10,ndc,chf,0.14628864206271525
10,ndc,hd,0.36269479895295026
10,ndc,sdf,12.812050630818462
10,rfts,chf,0.06806586168259146
10,rfts,hd,0.15002558012098466
10,rfts,sdf,0.22589295792968958
10,rfta,chf,0.05869087708831673
10,rfta,hd,0.13273227273385083
10,rfta,sdf,0.026114759183072343
20,mc,chf,0.10486456280509618
20,mc,hd,0.2666524078867643
20,mc,sdf,12.40831392023865
20,ndc,chf,0.0856346157504294
20,ndc,hd,0.20785024781393366
20,ndc,sdf,12.032304013011878
20,rfts,chf,0.06871547652921536
20,rfts,hd,0.1637193442587353
20,rfts,sdf,1.0960401287401622
20,rfta,chf,0.03468178696490146
20,rfta,hd,0.09124647323255367
20,rfta,sdf,0.010489545612851354
30,mc,chf,0.041452744418757875
30,mc,hd,0.11697469853675516
30,mc,sdf,1.496335251012391
30,ndc,chf,0.026788032398282487
30,ndc,hd,0.0884802879003918
30,ndc,sdf,0.15885915895209643
30,rfts,chf,0.08362700064267024
30,rfts,hd,0.24863807191734155
30,rfts,sdf,8.660986173729613
30,rfta,chf,0.029220168208113937
30,rfta,hd,0.08058325429468086
30,rfta,sdf,0.007172569255554219
40,mc,chf,0.03175137653997283
40,mc,hd,0.09221453023696043
40,mc,sdf,0.9869776415009297
40,ndc,chf,0.02393935352286207
40,ndc,hd,0.07816517020203714
40,ndc,sdf,0.4755662338743896
40,rfts,chf,0.07041749046480504
40,rfts,hd,0.18385212117372227
40,rfts,sdf,3.8019139240185935
40,rfta,chf,0.022166457681888425
40,rfta,hd,0.06381589488904575
40,rfta,sdf,0.004007767668978357
50,mc,chf,0.021714767227315118
50,mc,hd,0.06664847406377979
50,mc,sdf,0.39692525254960126
50,ndc,chf,0.01595321945743511
50,ndc,hd,0.05000458791250236
50,ndc,sdf,0.04187521051230699
50,rfts,chf,0.10584034109326995
50,rfts,hd,0.3308591469253446
50,rfts,sdf,12.039486199246083
50,rfta,chf,0.01754193561477681
50,rfta,hd,0.05554268522838991
50,rfta,sdf,0.0030683747820548913
60,mc,chf,0.016387552843777242
60,mc,hd,0.05815934855351626
60,mc,sdf,0.31626947500533825
60,ndc,chf,0.013913383974516332
60,ndc,hd,0.056152558337803714
60,ndc,sdf,0.10287867854701728
60,rfts,chf,0.07936431209955147
60,rfts,hd,0.21722574671686093
60,rfts,sdf,5.756514193584222
60,rfta,chf,0.01440230601213679
60,rfta,hd,0.04975958739423584
60,rfta,sdf,0.0026047252850399617
80,mc,chf,0.011471934373751418
80,mc,hd,0.04669307448213631
80,mc,sdf,0.09681902490030397
80,ndc,chf,0.010770722307562656
80,ndc,hd,0.04752506202165918
80,ndc,sdf,0.09581215930137162
80,rfts,chf,0.05224988266121195
80,rfts,hd,0.1391392119779787
80,rfts,sdf,2.9108950937468965
80,rfta,chf,0.01160260455039558
80,rfta,hd,0.042570626918058435
80,rfta,sdf,0.0023168667083523753
100,mc,chf,0.009479332382514949
100,mc,hd,0.050938801187301645
100,mc,sdf,0.18289441073766488
100,ndc,chf,0.007239927644048832
100,ndc,hd,0.031141542933827687
100,ndc,sdf,0.02415894823776593
100,rfts,chf,0.07021825804194491
100,rfts,hd,0.2272035759334408
100,rfts,sdf,4.279128352027725
100,rfta,chf,0.009468586349731392
100,rfta,hd,0.04085992145253234
100,rfta,sdf,0.0020192272017610967
