resolution,method,metric,error
6,mc,chf,0.25975824406126274
6,mc,hd,0.47707598324128125
6,mc,sdf,62.30760514731999
6,ndc,chf,0.19797590774841295
6,ndc,hd,0.4095642928418677
6,ndc,sdf,28.750424872104134
6,rfts,chf,0.10137160149527547
6,rfts,hd,0.22911854864358155
6,rfts,sdf,6.061761619021253
6,rfta,chf,0.07254225054890168
6,rfta,hd,0.16419567655448988
6,rfta,sdf,0.07226962153252085
10,mc,chf,0.17902432498799206
10,mc,hd,0.36744500876071
10,mc,sdf,31.990354960208837
10,ndc,chf,0.1292850258452583
10,ndc,hd,0.29723104023757857
10,ndc,sdf,16.047929791114814
10,rfts,chf,0.06153130262773671
10,rfts,hd,0.15272620064203618
10,rfts,sdf,0.3527205482566945
10,rfta,chf,0.049945810889194885
10,rfta,hd,0.1267852415921456
10,rfta,sdf,0.031131953658196276
20,mc,chf,0.07602543685898465
20,mc,hd,0.19553075980103063
20,mc,sdf,6.415169253513089
20,ndc,chf,0.05460078253016817
20,ndc,hd,0.15444194614029833
20,ndc,sdf,4.045587021172902
20,rfts,chf,0.0582581312763217
20,rfts,hd,0.15397136980506973
20,rfts,sdf,2.3007157322301173
20,rfta,chf,0.03135983936306581
20,rfta,hd,0.08960356016190799
20,rfta,sdf,0.013705630683912801
30,mc,chf,0.034968411127020434
30,mc,hd,0.10841048101025005
30,mc,sdf,1.1353255736060288
30,ndc,chf,0.023329650040984747
30,ndc,hd,0.08277917307315928
30,ndc,sdf,0.21080564272861083
30,rfts,chf,0.05875221465721238
30,rfts,hd,0.16060794753294477
30,rfts,sdf,3.9780268730405295
30,rfta,chf,0.021305234690766003
30,rfta,hd,0.06498936108629606
30,rfta,sdf,0.004762286868583637
40,mc,chf,0.023759936188941733
40,mc,hd,0.08000375945348488
40,mc,sdf,0.7025579900486075
40,ndc,chf,0.01621723574175966
40,ndc,hd,0.05867422267322953
40,ndc,sdf,0.20606178628923616
40,rfts,chf,0.05931224190086458
40,rfts,hd,0.15998166028308403
40,rfts,sdf,3.508232574451333
40,rfta,chf,0.01643749374404356
40,rfta,hd,0.05291406528243046
40,rfta,sdf,0.002999205150727758
50,mc,chf,0.016854665400335565
50,mc,hd,0.06130007487300725
50,mc,sdf,0.2688354419154361
50,ndc,chf,0.011924929535787127
50,ndc,hd,0.04753151763576335
50,ndc,sdf,0.0709377437355023
50,rfts,chf,0.053923004729947016
50,rfts,hd,0.16861771517901025
50,rfts,sdf,4.101624204843703
50,rfta,chf,0.013750060072163109
50,rfta,hd,0.04731224346934745
50,rfta,sdf,0.0023297378287363804
60,mc,chf,0.012468665857868193
60,mc,hd,0.050260940857438645
60,mc,sdf,0.18276767927827883
60,ndc,chf,0.009536913851937731
60,ndc,hd,0.04063814483478304
60,ndc,sdf,0.04699604747353706
60,rfts,chf,0.05458964694784856
60,rfts,hd,0.15942436095161322
60,rfts,sdf,4.220697363392731
60,rfta,chf,0.011419616999117456
60,rfta,hd,0.041326207035468826
60,rfta,sdf,0.0018226023060614247
80,mc,chf,0.007999699816744765
80,mc,hd,0.03424338713785289
80,mc,sdf,0.06548284883311718
80,ndc,chf,0.007050210601071964
80,ndc,hd,0.039569499184765836
80,ndc,sdf,0.08982431367442094
80,rfts,chf,0.046047924131933926
80,rfts,hd,0.13520167847070147
80,rfts,sdf,3.899249752133533
80,rfta,chf,0.009205217047258633
80,rfta,hd,0.0353445847091543
80,rfta,sdf,0.0015129203656684216
100,mc,chf,0.006168508821930137
100,mc,hd,0.03178401335826949
100,mc,sdf,0.06299736187878321
100,ndc,chf,0.00465717347259653
100,ndc,hd,0.02241800418983445
100,ndc,sdf,0.011613366280141703
100,rfts,chf,0.040620174361637375
100,rfts,hd,0.14482135107197505
100,rfts,sdf,3.608124189852899
100,rfta,chf,0.007680849885384637
100,rfta,hd,0.03670076874941466
100,rfta,sdf,0.0014182981107445445
