resolution,method,metric,error
6,mc,chf,0.26443403591492265
6,mc,hd,0.4837015833673251
6,mc,sdf,64.18147171466006
6,ndc,chf,0.18515256615896208
6,ndc,hd,0.3873302543190891
6,ndc,sdf,25.283920203332627
6,rfts,chf,0.08651530061410212
6,rfts,hd,0.19564974074741437
6,rfts,sdf,4.0003126054122315
6,rfta,chf,0.06718444897571275
6,rfta,hd,0.15190798704811934
6,rfta,sdf,0.0611269981654684
10,mc,chf,0.17057508076327743
10,mc,hd,0.3546428329496974
10,mc,sdf,28.293696182676896
10,ndc,chf,0.11655978342997511
10,ndc,hd,0.2777538610964722
10,ndc,sdf,13.152432444670266
10,rfts,chf,0.05591700231988281
10,rfts,hd,0.1410305659419035
10,rfts,sdf,0.30033899098306327
10,rfta,chf,0.04716512056851257
10,rfta,hd,0.11687561635968279
10,rfta,sdf,0.027140883300727534
20,mc,chf,0.06877186749207692
20,mc,hd,0.17994350900444028
20,mc,sdf,5.316323165939924
20,ndc,chf,0.04697906916724021
20,ndc,hd,0.13655388374626345
20,ndc,sdf,2.934283167826695
20,rfts,chf,0.05135604273963905
20,rfts,hd,0.13683804086076928
20,rfts,sdf,1.9020131734398162
20,rfta,chf,0.029478261989246878
20,rfta,hd,0.08223671597926434
20,rfta,sdf,0.012482581137437294
30,mc,chf,0.032240319574185335
30,mc,hd,0.10384563165588223
30,mc,sdf,1.0028305002730493
30,ndc,chf,0.02167758676403536
30,ndc,hd,0.07532205770738436
30,ndc,sdf,0.19031161373807776
30,rfts,chf,0.04972285639863519
30,rfts,hd,0.13945242817553005
30,rfts,sdf,2.7905783116043805
30,rfta,chf,0.020339686885906753
30,rfta,hd,0.0614131965790398
30,rfta,sdf,0.005662174295992894
40,mc,chf,0.023441381072916264
40,mc,hd,0.08106356876165072
40,mc,sdf,0.8185907124160549
40,ndc,chf,0.016599249041332066
40,ndc,hd,0.05930875282094569
40,ndc,sdf,0.22740490909211813
40,rfts,chf,0.05207070743552664
40,rfts,hd,0.14137174181840884
40,rfts,sdf,2.7920560987435614
40,rfta,chf,0.01560201214430945
40,rfta,hd,0.04909032622526211
40,rfta,sdf,0.0031213557827486312
50,mc,chf,0.0169198729360542
50,mc,hd,0.061070664497163196
50,mc,sdf,0.49640413997397953
50,ndc,chf,0.011383261706690772
50,ndc,hd,0.04404039553741849
50,ndc,sdf,0.05860448973883453
50,rfts,chf,0.042075875756530275
50,rfts,hd,0.1310609351559396
50,rfts,sdf,2.7342001748266482
50,rfta,chf,0.013137398122357232
50,rfta,hd,0.04419365664627553
50,rfta,sdf,0.0025138028848499926
60,mc,chf,0.012949785946293467
60,mc,hd,0.050215776874411776
60,mc,sdf,0.3189886080251085
60,ndc,chf,0.008733714993053174
60,ndc,hd,0.03695107247125092
60,ndc,sdf,0.036897517382877616
60,rfts,chf,0.042344551129384414
60,rfts,hd,0.12471138950503904
60,rfts,sdf,2.9077125055210242
60,rfta,chf,0.010930115214583432
60,rfta,hd,0.038983305646705595
60,rfta,sdf,0.0020250949972417474
80,mc,chf,0.0073981159542703635
80,mc,hd,0.03245239435454132
80,mc,sdf,0.05983849104670167
80,ndc,chf,0.006235121581307268
80,ndc,hd,0.03251123404853136
80,ndc,sdf,0.06121511035647389
80,rfts,chf,0.035068106571722414
80,rfts,hd,0.10564121093881326
80,rfts,sdf,2.655270477538887
80,rfta,chf,0.00840764927690835
80,rfta,hd,0.033165666701075805
80,rfta,sdf,0.0015458367458284837
100,mc,chf,0.005441724841579384
100,mc,hd,0.029389902783536793
100,mc,sdf,0.050668319316630316
100,ndc,chf,0.004027275502335022
100,ndc,hd,0.020263578529957058
100,ndc,sdf,0.009213239788735225
100,rfts,chf,0.03315032157532642
100,rfts,hd,0.1209017961871168
100,rfts,sdf,2.7148030972912682
100,rfta,chf,0.0068944936353984325
100,rfta,hd,0.0356456013901991
100,rfta,sdf,0.0013320073205233057
