mesh,genus,resolution,method,metric,error
1001930_sf,1.0,6,mc,chf,0.20528611298593236
1001930_sf,1.0,6,mc,hd,0.4114264423843292
1001930_sf,1.0,6,mc,sdf,20.681593139712746
1001930_sf,1.0,6,ndc,chf,0.15889512346587803
1001930_sf,1.0,6,ndc,hd,0.32150498877911743
1001930_sf,1.0,6,ndc,sdf,11.249338530089792
1001930_sf,1.0,6,rfts,chf,0.0824684705154641
1001930_sf,1.0,6,rfts,hd,0.2030807871667877
1001930_sf,1.0,6,rfts,sdf,0.02427264286470412
1001930_sf,1.0,6,rfta,chf,0.08568630323138524
1001930_sf,1.0,6,rfta,hd,0.21605845761946157
1001930_sf,1.0,6,rfta,sdf,0.06596155116665442
1001930_sf,1.0,10,mc,chf,0.08457641004761275
1001930_sf,1.0,10,mc,hd,0.19780394351433472
1001930_sf,1.0,10,mc,sdf,4.014908079433159
1001930_sf,1.0,10,ndc,chf,0.05956061504489465
1001930_sf,1.0,10,ndc,hd,0.12112744860836008
1001930_sf,1.0,10,ndc,sdf,0.8584115410322685
1001930_sf,1.0,10,rfts,chf,0.07125424258261268
1001930_sf,1.0,10,rfts,hd,0.16787709050095853
1001930_sf,1.0,10,rfts,sdf,0.03515172681180294
1001930_sf,1.0,10,rfta,chf,0.08163431136693619
1001930_sf,1.0,10,rfta,hd,0.22093732100266048
1001930_sf,1.0,10,rfta,sdf,0.09285717257060878
1001930_sf,1.0,20,mc,chf,0.03317987012815112
1001930_sf,1.0,20,mc,hd,0.15676447065452567
1001930_sf,1.0,20,mc,sdf,1.20643565410301
1001930_sf,1.0,20,ndc,chf,0.022532547034582982
1001930_sf,1.0,20,ndc,hd,0.13147072099033716
1001930_sf,1.0,20,ndc,sdf,0.41566208873867616
1001930_sf,1.0,20,rfts,chf,0.02699171563645767
1001930_sf,1.0,20,rfts,hd,0.08290229535782107
1001930_sf,1.0,20,rfts,sdf,0.036184648726986825
1001930_sf,1.0,20,rfta,chf,0.07340226864337206
1001930_sf,1.0,20,rfta,hd,0.19067410710535304
1001930_sf,1.0,20,rfta,sdf,0.07041652061182595
1001930_sf,1.0,40,mc,chf,0.010510525298651392
1001930_sf,1.0,40,mc,hd,0.06625816959270299
1001930_sf,1.0,40,mc,sdf,0.2638919115034113
1001930_sf,1.0,40,ndc,chf,0.005291691965395909
1001930_sf,1.0,40,ndc,hd,0.0329727572018028
1001930_sf,1.0,40,ndc,sdf,0.011731337654936714
1001930_sf,1.0,40,rfts,chf,0.020645044779146107
1001930_sf,1.0,40,rfts,hd,0.06954924666323019
1001930_sf,1.0,40,rfts,sdf,0.02398702248691363
1001930_sf,1.0,40,rfta,chf,0.012894623540209003
1001930_sf,1.0,40,rfta,hd,0.05957170170375609
1001930_sf,1.0,40,rfta,sdf,0.0014983609338796412
1001930_sf,1.0,50,mc,chf,0.007539636335073149
1001930_sf,1.0,50,mc,hd,0.06278736379224206
1001930_sf,1.0,50,mc,sdf,0.17083665498736791
1001930_sf,1.0,50,ndc,chf,0.004289125391907483
1001930_sf,1.0,50,ndc,hd,0.029101474370934258
1001930_sf,1.0,50,ndc,sdf,0.026891907388336078
1001930_sf,1.0,50,rfts,chf,0.023339318808092764
1001930_sf,1.0,50,rfts,hd,0.08392849539868064
1001930_sf,1.0,50,rfts,sdf,0.02859043245973891
1001930_sf,1.0,50,rfta,chf,0.009077903890722865
1001930_sf,1.0,50,rfta,hd,0.043848041403822695
1001930_sf,1.0,50,rfta,sdf,0.0010794867796349778
1001930_sf,1.0,60,mc,chf,0.005590691713158621
1001930_sf,1.0,60,mc,hd,0.04036000871261234
1001930_sf,1.0,60,mc,sdf,0.10021595564174908
1001930_sf,1.0,60,ndc,chf,0.003248074993176536
1001930_sf,1.0,60,ndc,hd,0.030108714452901725
1001930_sf,1.0,60,ndc,sdf,0.018644933446183756
1001930_sf,1.0,60,rfts,chf,0.019770894383694598
1001930_sf,1.0,60,rfts,hd,0.08014954221630295
1001930_sf,1.0,60,rfts,sdf,0.041932607054030104
1001930_sf,1.0,60,rfta,chf,0.006722654863599997
1001930_sf,1.0,60,rfta,hd,0.0413218994811511
1001930_sf,1.0,60,rfta,sdf,0.000858176034107845
1001930_sf,1.0,80,mc,chf,0.0037240834891116444
1001930_sf,1.0,80,mc,hd,0.03154871921267184
1001930_sf,1.0,80,mc,sdf,0.04380196746244876
1001930_sf,1.0,80,ndc,chf,0.002515988470415018
1001930_sf,1.0,80,ndc,hd,0.02757871621282385
1001930_sf,1.0,80,ndc,sdf,0.02076965659646258
1001930_sf,1.0,80,rfts,chf,0.01851211411222951
1001930_sf,1.0,80,rfts,hd,0.1021723172511969
1001930_sf,1.0,80,rfts,sdf,0.06948560568327138
1001930_sf,1.0,80,rfta,chf,0.0057232040553989
1001930_sf,1.0,80,rfta,hd,0.044740920093709544
1001930_sf,1.0,80,rfta,sdf,0.001070232497238581
1001930_sf,1.0,100,mc,chf,0.0029206167737631378
1001930_sf,1.0,100,mc,hd,0.022349154207593216
1001930_sf,1.0,100,mc,sdf,0.024686373671719032
1001930_sf,1.0,100,ndc,chf,0.0022109688701023086
1001930_sf,1.0,100,ndc,hd,0.018702315352958094
1001930_sf,1.0,100,ndc,sdf,0.0063772105002474965
1001930_sf,1.0,100,rfts,chf,0.027261354673544177
1001930_sf,1.0,100,rfts,hd,0.10572132740697124
1001930_sf,1.0,100,rfts,sdf,0.021354843751004552
1001930_sf,1.0,100,rfta,chf,0.007153169284715749
1001930_sf,1.0,100,rfta,hd,0.049310186523378735
1001930_sf,1.0,100,rfta,sdf,0.0011397641821628422
1018276_sf,3.0,10,mc,chf,0.25299187130703876
1018276_sf,3.0,10,mc,hd,0.43261160453232705
1018276_sf,3.0,10,mc,sdf,55.89178304187789
1018276_sf,3.0,10,ndc,chf,0.47506886247608027
1018276_sf,3.0,10,ndc,hd,0.8704648728085127
1018276_sf,3.0,10,ndc,sdf,127.40504900846996
1018276_sf,3.0,10,rfts,chf,0.06827025612767204
1018276_sf,3.0,10,rfts,hd,0.17740321832000427
1018276_sf,3.0,10,rfts,sdf,0.18478841907564708
1018276_sf,3.0,10,rfta,chf,0.024951553815684195
1018276_sf,3.0,10,rfta,hd,0.06630300155580554
1018276_sf,3.0,10,rfta,sdf,0.014659979252234515
1018276_sf,3.0,20,mc,chf,0.0694492294823775
1018276_sf,3.0,20,mc,hd,0.15993958515549192
1018276_sf,3.0,20,mc,sdf,3.8481867105526364
1018276_sf,3.0,20,ndc,chf,0.03748031757014457
1018276_sf,3.0,20,ndc,hd,0.11649943839907484
1018276_sf,3.0,20,ndc,sdf,0.2879684550402872
1018276_sf,3.0,20,rfts,chf,0.04856280772816132
1018276_sf,3.0,20,rfts,hd,0.13567571108675208
1018276_sf,3.0,20,rfts,sdf,0.13939502261514425
1018276_sf,3.0,20,rfta,chf,0.00875194979832651
1018276_sf,3.0,20,rfta,hd,0.02574467156624233
