resolution,method,metric,error
6,mc,chf,0.27334030611237004
6,mc,hd,0.496321774083599
6,mc,sdf,67.75074136673643
6,ndc,chf,0.16072715360762715
6,ndc,hd,0.34497970475189166
6,ndc,sdf,18.68105416757738
6,rfts,chf,0.058217584649962385
6,rfts,hd,0.13189963046900063
6,rfts,sdf,0.07374305568076503
6,rfta,chf,0.056979112645829104
6,rfta,hd,0.12850286417884207
6,rfta,sdf,0.03990295365679701
10,mc,chf,0.1524695574246032
10,mc,hd,0.32720959906895614
10,mc,sdf,20.37228451653703
10,ndc,chf,0.08929140682579677
10,ndc,hd,0.23601704865124437
10,ndc,sdf,6.947795273717662
10,rfts,chf,0.04388635880305301
10,rfts,hd,0.11596849158447627
10,rfts,sdf,0.18809279682528213
10,rfta,chf,0.041206498452764743
10,rfta,hd,0.09564070514726256
10,rfta,sdf,0.01858858967758025
20,mc,chf,0.05301411335017395
20,mc,hd,0.1460815503773648
20,mc,sdf,2.9291747687982186
20,ndc,chf,0.030421553930534653
20,ndc,hd,0.09769361026956706
20,ndc,sdf,0.5200713484883825
20,rfts,chf,0.03636185040132842
20,rfts,hd,0.09961736074039255
20,rfts,sdf,1.035866235378129
20,rfta,chf,0.025390697349571237
20,rfta,hd,0.06623288206524541
20,rfta,sdf,0.009825611433024977
30,mc,chf,0.02650192010098047
30,mc,hd,0.09424370715186721
30,mc,sdf,0.724133966710575
30,ndc,chf,0.01820255711252114
30,ndc,hd,0.05963640124834049
30,ndc,sdf,0.14720348379247378
30,rfts,chf,0.030730068337490105
30,rfts,hd,0.09495288745820946
30,rfts,sdf,0.29284168237662117
30,rfta,chf,0.018308707020513165
30,rfta,hd,0.05389091951205251
30,rfta,sdf,0.007555040953646846
40,mc,chf,0.02273836288582556
40,mc,hd,0.08340245826932696
40,mc,sdf,1.0746629272959387
40,ndc,chf,0.017442312874871163
40,ndc,hd,0.06070909521590549
40,ndc,sdf,0.2745069732088233
40,rfts,chf,0.03608938999478082
40,rfts,hd,0.10030157693084976
40,rfts,sdf,1.2115287040781337
40,rfta,chf,0.013758190682827276
40,rfta,hd,0.04065172968530437
40,rfta,sdf,0.0033909295913464167
50,mc,chf,0.01704803947177703
50,mc,hd,0.060619754448090375
50,mc,sdf,0.943694339606289
50,ndc,chf,0.010318604249501387
50,ndc,hd,0.03717853486136138
50,ndc,sdf,0.03436326636607376
50,rfts,chf,0.018790139498435273
50,rfts,hd,0.05724243648990424
50,rfts,sdf,0.04650466755174826
50,rfta,chf,0.011933200496876717
50,rfta,hd,0.03806402047678937
50,rfta,sdf,0.0028755859261767472
60,mc,chf,0.013945206818897474
60,mc,hd,0.05012233415090789
60,mc,sdf,0.600825012328894
60,ndc,chf,0.007071924250533403
60,ndc,hd,0.02932264689152928
60,ndc,sdf,0.016004006850478727
60,rfts,chf,0.017009870125665495
60,rfts,hd,0.05289144858109247
60,rfts,sdf,0.19119210992438812
60,rfta,chf,0.009917352901754425
60,rfta,hd,0.03413592346305755
60,rfta,sdf,0.002444045392787242
80,mc,chf,0.0063401581271602106
80,mc,hd,0.029302717390786492
80,mc,sdf,0.04991220666369508
80,ndc,chf,0.004801689167238317
80,ndc,hd,0.020098422946877616
80,ndc,sdf,0.0109023734869808
80,rfts,chf,0.015758772241695255
80,rfts,hd,0.053655561141354766
80,rfts,sdf,0.46758278773450745
80,rfta,chf,0.007005030094568197
80,rfta,hd,0.02933377641100673
80,rfta,sdf,0.0016037241730065242
100,mc,chf,0.003596811660689012
100,mc,hd,0.02331254517075377
100,mc,sdf,0.019371518966549824
100,ndc,chf,0.0024283037316711912
100,ndc,hd,0.014794651854883668
100,ndc,sdf,0.0031206110028572523
100,rfts,chf,0.01418838757930632
100,rfts,hd,0.06018292609478429
100,rfts,sdf,0.4471418623271284
100,rfta,chf,0.004898358539279599
100,rfta,hd,0.0329670996321904
100,rfta,sdf,0.0011129614684232394
